"num" "sf" "shift" "freq" "LM" "MW" "C" "N" "P" "O" "cansmi" "envlab" "ref" "rho_vac" "rho_chcl3" "rho_dmso" "rho_h2o" "rho_tol" "rho_acn" "rho_kt3" "rho_r2s" "delta_vac" "delta_chcl3" "delta_dmso" "delta_h2o" "delta_tol" "delta_acn" "delta_kt3" "delta_r2s" "delta_ens_bol" "delta_ens_min" "delta_ens_max"
"37" "Lan1-CMP83" "C3H5Cl2O3P" 19.9 NA NA 190.949761 3 0 1 3 "ClCC1COP(=O)(O1)Cl" "O2Cl1O1O1" "Bredikhin, A.A., Lazarev, S.N., Bredikhina, Z.A., Alfonsov, V.A.: Phosphorus, Sulfur Silicon Relat. Elem. 131 (1997) 173." 245.758 235.836 233.378 233.449 238.313 233.466 290.761 319.626 17.675 26.511 28.8 28.696 24.31 28.718 15.824 23.019 21.3567399750461 19.830834 21.576761
"38" "Lan1-CMP84" "C3H5Na2O4P" 27.57 NA "D2O" 182.022701 3 0 1 4 "[Na]OC(=O)CCP(=O)O[Na]" "H1O2C1O1" "Prishchenko, A.A., Livantsov, M.V., Novikova, O.P., Livantsova, L.I., Petrosyan, V.S.: Heteroatom Chem. 19 (2008) 418." NA NA NA NA NA NA 270.916 299.728 NA NA NA NA NA NA 35.669 42.917 NA NA NA
"39" "Lan1-CMP85" "C3H5NO3P-" 0.904 NA "CD3OD" 134.050461 3 1 1 3 "C#CC[N-]P(=O)(O)O" "O2N1O1O1" "Kishore Kumar, G.D., Saenz, D., Lokesh, G.L., Natarajan, A.: Tetrahedron Lett. 47 (2006) 6281." NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "Lan1-CMP88" "C3H9O3P" -23.1 NA "D2O" 124.075521 3 0 1 3 "[2H]OCP(CO[2H])CO[2H]" "C1C1C1" "Moiseev, D.V., James, B.R., Hu, T.Q.: Phosphorus, Sulfur Silicon Relat. Elem. 187 (2012) 433." 283.083 NA 280.069 280.056 281.01 280.082 333.781 371.658 -19.65 NA -17.891 -17.911 -18.387 -17.898 -27.196 -29.013 -19.5788004808038 -53.588347 -8.89254599999998
"41" "Lan1-CMP89" "C3H9O3PS" 47.8 NA "D2O" 156.140521 3 0 1 3 "[2H]OCP(=S)(CO[2H])CO[2H]" "S2C1C1C1" "Moiseev, D.V., James, B.R., Hu, T.Q.: Phosphorus, Sulfur Silicon Relat. Elem. 187 (2012) 433." 207.417 204.262 203.823 203.691 205.331 203.966 265.761 294.689 56.016 58.085 58.355 58.454 57.292 58.218 40.824 47.956 47.354964683678 17.406966 64.772974
"42" "Lan1-CMP90" "C3H9O3PS" 32.4 NA "CDCl3" 156.140521 3 0 1 3 "COP(=O)(SC([2H])([2H])[2H])OC" "O1O1O2S1" "Liu, T., Cui, X., Yu, X., Li, C.: Phosphorus, Sulfur Silicon Relat. Elem. 187 (2012) 606." 225.759 223.678 222.936 222.966 224.324 222.964 272.228 301.732 37.674 38.669 39.242 39.179 38.299 39.22 34.357 40.913 28.436088675493 17.973141 37.767404
"43" "Lan1-CMP91" "C3H9O4P" 50.2 NA "D2O" 140.074921 3 0 1 4 "[2H]OCP(=O)(CO[2H])CO[2H]" "O2C1C1C1" "Moiseev, D.V., James, B.R., Hu, T.Q.: Phosphorus, Sulfur Silicon Relat. Elem. 187 (2012) 433." NA NA NA NA NA NA 278.49 305.343 NA NA NA NA NA NA 28.095 37.302 NA NA NA
"44" "Lan1-CMP92" "C3H7N3O3PS+" 8.12 NA "CDCl3" 196.144741 3 3 1 3 "OP(=O)(CN[n+]1ncsc1)O" "O1O1O2C1" "Hu, N., Zhu, C., Fu, J.: Heteroatom Chem. 19 (2008) 140." NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "Lan1-CMP93" "C3H7Cl2OP" 178.6 NA "CDCl3" 160.966841 3 0 1 1 "CCCP(=O)(Cl)Cl" "O2C1Cl1Cl1" "Majewski, P.: Phosphorus, Sulfur Silicon Relat. Elem. 184 (2009) 942." 202.481 187.149 182.551 182.588 191.969 182.716 257.866 287.208 60.952 75.198 79.627 79.557 70.654 79.468 48.719 55.437 62.0345284964931 60.952768 65.435868
"46" "Lan1-CMP94" "C3H7Cl2OP" 54.6 NA "CDCl3" 160.966841 3 0 1 1 "CCCP(=O)(Cl)Cl" "O2Cl1Cl1C1" "Purnanand, Shakya, P.D., Saxena, S., Sharma, M., Lal, B.: Phosphorus, Sulfur Silicon Relat. Elem. 177 (2002) 1093." 201.351 186.221 181.49 181.523 190.922 181.659 257.351 286.576 62.082 76.126 80.688 80.622 71.701 80.525 49.234 56.069 62.1660216847727 60.972042 65.586978
"47" "Lan1-CMP96" "C3H7NO3PS-" 48.8 NA "CDCl3" 168.131341 3 1 1 3 "COP(=S)(NC(=O)C)[O-]" "S2N1O1O1" "Baraniak, J., Kaczmarek, R., Wasilewska, E., Korczynski, D., Stec, W.J.: Tetrahedron Lett. 45 (2004) 4269." NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "Lan1-CMP97" "C3H7N2O3PS--" 47.49 NA "D2O" 182.138041 3 2 1 3 "NC(=O)C(NP(=O)([S-])[O-])C" "N1S1O1O2" "Baraniak, J., Kaczmarek, R., Korczynski, D., Wasilewska, E.: J. Org. Chem. 67 (2002) 7267." 300.739 210.111 NA 206.645 208.97 NA 344.74 373.225 -37.306 52.236 NA 55.5 53.653 NA -38.155 -30.58 NA NA NA
